,Date,Price,Months,Seasons
0,1997-01-07,3.82,Jan,Winter
1,1997-01-08,3.8,Jan,Winter
2,1997-01-09,3.61,Jan,Winter
3,1997-01-10,3.92,Jan,Winter
4,1997-01-13,4.0,Jan,Winter
5,1997-01-14,4.01,Jan,Winter
6,1997-01-15,4.34,Jan,Winter
7,1997-01-16,4.71,Jan,Winter
8,1997-01-17,3.91,Jan,Winter
9,1997-01-20,3.26,Jan,Winter
10,1997-01-21,2.99,Jan,Winter
11,1997-01-22,3.05,Jan,Winter
12,1997-01-23,2.96,Jan,Winter
13,1997-01-24,2.62,Jan,Winter
14,1997-01-27,2.98,Jan,Winter
15,1997-01-28,3.05,Jan,Winter
16,1997-01-29,2.91,Jan,Winter
17,1997-01-30,2.86,Jan,Winter
18,1997-01-31,2.77,Jan,Winter
19,1997-02-03,2.49,Feb,Winter
20,1997-02-04,2.59,Feb,Winter
21,1997-02-05,2.65,Feb,Winter
22,1997-02-06,2.51,Feb,Winter
23,1997-02-07,2.39,Feb,Winter
24,1997-02-10,2.42,Feb,Winter
25,1997-02-11,2.34,Feb,Winter
26,1997-02-12,2.42,Feb,Winter
27,1997-02-13,2.22,Feb,Winter
28,1997-02-14,2.12,Feb,Winter
29,1997-02-18,1.84,Feb,Winter
30,1997-02-19,1.95,Feb,Winter
31,1997-02-20,1.92,Feb,Winter
32,1997-02-21,1.92,Feb,Winter
33,1997-02-24,1.92,Feb,Winter
34,1997-02-25,1.77,Feb,Winter
35,1997-02-26,1.81,Feb,Winter
36,1997-02-27,1.8,Feb,Winter
37,1997-02-28,1.78,Feb,Winter
38,1997-03-03,1.8,Mar,Spring
39,1997-03-04,1.87,Mar,Spring
40,1997-03-05,1.92,Mar,Spring
41,1997-03-06,1.82,Mar,Spring
42,1997-03-07,1.89,Mar,Spring
43,1997-03-10,1.95,Mar,Spring
44,1997-03-11,1.92,Mar,Spring
45,1997-03-12,1.96,Mar,Spring
46,1997-03-13,1.98,Mar,Spring
47,1997-03-14,1.97,Mar,Spring
48,1997-03-17,2.01,Mar,Spring
49,1997-03-18,1.91,Mar,Spring
50,1997-03-19,1.88,Mar,Spring
51,1997-03-20,1.88,Mar,Spring
52,1997-03-21,1.87,Mar,Spring
53,1997-03-24,1.8,Mar,Spring
54,1997-03-25,1.85,Mar,Spring
55,1997-03-26,1.85,Mar,Spring
56,1997-03-27,1.84,Mar,Spring
57,1997-03-31,1.84,Mar,Spring
58,1997-04-01,1.95,Apr,Spring
59,1997-04-02,1.85,Apr,Spring
60,1997-04-03,1.87,Apr,Spring
61,1997-04-04,1.91,Apr,Spring
62,1997-04-07,1.99,Apr,Spring
