,Date,Price,Months,Seasons
0,1997-01-07,3.82,1,4
1,1997-01-08,3.8,1,4
2,1997-01-09,3.61,1,4
3,1997-01-10,3.92,1,4
4,1997-01-13,4.0,1,4
5,1997-01-14,4.01,1,4
6,1997-01-15,4.34,1,4
7,1997-01-16,4.71,1,4
8,1997-01-17,3.91,1,4
9,1997-01-20,3.26,1,4
10,1997-01-21,2.99,1,4
11,1997-01-22,3.05,1,4
12,1997-01-23,2.96,1,4
13,1997-01-24,2.62,1,4
14,1997-01-27,2.98,1,4
15,1997-01-28,3.05,1,4
16,1997-01-29,2.91,1,4
17,1997-01-30,2.86,1,4
18,1997-01-31,2.77,1,4
19,1997-02-03,2.49,2,4
20,1997-02-04,2.59,2,4
21,1997-02-05,2.65,2,4
22,1997-02-06,2.51,2,4
23,1997-02-07,2.39,2,4
24,1997-02-10,2.42,2,4
25,1997-02-11,2.34,2,4
26,1997-02-12,2.42,2,4
27,1997-02-13,2.22,2,4
28,1997-02-14,2.12,2,4
29,1997-02-18,1.84,2,4
30,1997-02-19,1.95,2,4
31,1997-02-20,1.92,2,4
32,1997-02-21,1.92,2,4
33,1997-02-24,1.92,2,4
34,1997-02-25,1.77,2,4
35,1997-02-26,1.81,2,4
36,1997-02-27,1.8,2,4
37,1997-02-28,1.78,2,4
38,1997-03-03,1.8,3,1
39,1997-03-04,1.87,3,1
40,1997-03-05,1.92,3,1
41,1997-03-06,1.82,3,1
42,1997-03-07,1.89,3,1
43,1997-03-10,1.95,3,1
44,1997-03-11,1.92,3,1
45,1997-03-12,1.96,3,1
46,1997-03-13,1.98,3,1
47,1997-03-14,1.97,3,1
48,1997-03-17,2.01,3,1
49,1997-03-18,1.91,3,1
50,1997-03-19,1.88,3,1
51,1997-03-20,1.88,3,1
52,1997-03-21,1.87,3,1
53,1997-03-24,1.8,3,1
54,1997-03-25,1.85,3,1
55,1997-03-26,1.85,3,1
56,1997-03-27,1.84,3,1
57,1997-03-31,1.84,3,1
58,1997-04-01,1.95,4,1
59,1997-04-02,1.85,4,1
60,1997-04-03,1.87,4,1
61,1997-04-04,1.91,4,1
62,1997-04-07,1.99,4,1
63,1997-04-08,2.01,4,1
64,1997-04-09,1.96,4,1
65,1997-04-10,1.97,4,1
66,1997-04-11,1.98,4,1
67,1997-04-14,2.0,4,1
68,1997-04-15,2.0,4,1
69,1997-04-16,2.02,4,1
70,1997-04-17,2.08,4,1
71,1997-04-18,2.1,4,1
72,1997-04-21,2.09,4,1
73,1997-04-22,2.1,4,1
74,1997-04-23,2.22,4,1
75,1997-04-24,2.11,4,1
76,1997-04-25,2.16,4,1
77,1997-04-28,2.1,4,1
78,1997-04-29,2.09,4,1
79,1997-04-30,2.16,4,1
80,1997-05-01,2.19,5,1
81,1997-05-02,2.21,5,1
82,1997-05-05,2.23,5,1
83,1997-05-06,2.25,5,1
84,1997-05-07,2.34,5,1
85,1997-05-08,2.33,5,1
86,1997-05-09,2.3,5,1
87,1997-05-12,2.27,5,1
88,1997-05-13,2.18,5,1
89,1997-05-14,2.22,5,1
90,1997-05-15,2.25,5,1
91,1997-05-16,2.19,5,1
92,1997-05-19,2.25,5,1
93,1997-05-20,2.22,5,1
94,1997-05-21,2.21,5,1
95,1997-05-22,2.22,5,1
96,1997-05-23,2.2,5,1
97,1997-05-27,2.29,5,1
98,1997-05-28,2.34,5,1
99,1997-05-29,2.29,5,1
100,1997-05-30,2.23,5,1
101,1997-06-02,2.2,6,2
102,1997-06-03,2.11,6,2
103,1997-06-04,2.19,6,2
104,1997-06-05,2.18,6,2
105,1997-06-06,2.19,6,2
106,1997-06-09,2.19,6,2
107,1997-06-10,2.16,6,2
108,1997-06-11,2.16,6,2
109,1997-06-12,2.14,6,2
110,1997-06-13,2.15,6,2
111,1997-06-16,2.2,6,2
112,1997-06-17,2.2,6,2
113,1997-06-18,2.22,6,2
114,1997-06-19,2.23,6,2
115,1997-06-20,2.25,6,2
116,1997-06-23,2.29,6,2
117,1997-06-24,2.32,6,2
118,1997-06-25,2.32,6,2
119,1997-06-26,2.23,6,2
120,1997-06-27,2.17,6,2
121,1997-06-30,2.17,6,2
122,1997-07-01,2.16,7,2
123,1997-07-02,2.14,7,2
124,1997-07-03,2.11,7,2
125,1997-07-07,2.13,7,2
126,1997-07-08,2.13,7,2
127,1997-07-09,2.16,7,2
128,1997-07-10,2.15,7,2
129,1997-07-11,2.16,7,2
130,1997-07-14,2.18,7,2
131,1997-07-15,2.21,7,2
132,1997-07-16,2.24,7,2
133,1997-07-17,2.29,7,2
134,1997-07-18,2.26,7,2
135,1997-07-21,2.17,7,2
136,1997-07-22,2.18,7,2
137,1997-07-23,2.2,7,2
138,1997-07-24,2.24,7,2
139,1997-07-25,2.22,7,2
140,1997-07-28,2.19,7,2
141,1997-07-29,2.23,7,2
142,1997-07-30,2.19,7,2
143,1997-07-31,2.23,7,2
144,1997-08-01,2.24,8,2
145,1997-08-04,2.26,8,2
146,1997-08-05,2.33,8,2
147,1997-08-06,2.38,8,2
148,1997-08-07,2.5,8,2
149,1997-08-08,2.38,8,2
150,1997-08-11,2.53,8,2
151,1997-08-12,2.56,8,2
152,1997-08-13,2.45,8,2
153,1997-08-14,2.57,8,2
154,1997-08-15,2.53,8,2
155,1997-08-18,2.56,8,2
156,1997-08-19,2.61,8,2
157,1997-08-20,2.62,8,2
158,1997-08-21,2.45,8,2
159,1997-08-22,2.47,8,2
160,1997-08-25,2.53,8,2
161,1997-08-26,2.58,8,2
162,1997-08-27,2.51,8,2
163,1997-08-28,2.57,8,2
164,1997-08-29,2.69,8,2
165,1997-09-02,2.82,9,3
166,1997-09-03,2.86,9,3
167,1997-09-04,2.73,9,3
168,1997-09-05,2.67,9,3
