Date,close,vol,open,high,last,season
2022-04-29,7.244,105427.0,6.939,7.335,6.805,Spring
2022-04-28,6.888,136077.0,7.395,7.422,6.879,Spring
2022-04-27,7.267,2630.0,6.858,7.344,6.8,Spring
2022-04-26,6.85,31569.0,6.836,7.05,6.662,Spring
2022-04-25,6.669,29612.0,6.414,6.966,6.345,Spring
2022-04-22,6.534,75568.0,6.938,7.08,6.438,Spring
2022-04-21,6.957,141338.0,6.825,7.146,6.703,Spring
2022-04-20,6.937,153401.0,7.253,7.41,6.791,Spring
2022-04-19,7.176,229544.0,7.776,7.939,6.954,Spring
2022-04-18,7.82,180372.0,7.367,8.065,7.365,Spring
2022-04-14,7.3,206395.0,7.046,7.346,6.95,Spring
2022-04-13,6.997,192002.0,6.704,7.091,6.652,Spring
2022-04-12,6.68,212310.0,6.705,6.947,6.6,Spring
2022-04-11,6.643,156986.0,6.394,6.722,6.247,Spring
2022-04-08,6.278,166547.0,6.411,6.538,6.257,Spring
2022-04-07,6.359,176401.0,6.116,6.44,6.0,Spring
2022-04-06,6.029,157158.0,6.078,6.394,6.0,Spring
2022-04-05,6.032,151957.0,5.782,6.201,5.771,Spring
2022-04-04,5.712,129076.0,5.745,5.857,5.65,Spring
2022-04-01,5.72,170804.0,5.627,5.778,5.505,Spring
2022-03-31,5.642,153025.0,5.575,5.832,5.454,Spring
2022-03-30,5.605,112075.0,5.329,5.624,5.27,Spring
2022-03-29,5.336,2145.0,5.453,5.491,5.255,Spring
2022-03-28,5.508,25924.0,5.551,5.652,5.419,Spring
2022-03-25,5.571,27353.0,5.401,5.577,5.345,Spring
2022-03-24,5.401,77146.0,5.115,5.464,5.063,Spring
2022-03-23,5.232,73050.0,5.147,5.33,5.092,Spring
2022-03-22,5.187,108141.0,4.948,5.204,4.877,Spring
2022-03-21,4.9,63531.0,4.909,4.976,4.748,Spring
2022-03-18,4.863,61244.0,4.93,4.957,4.811,Spring
2022-03-17,4.99,89523.0,4.747,5.001,4.691,Spring
2022-03-16,4.748,77335.0,4.625,4.776,4.594,Spring
2022-03-15,4.568,80861.0,4.679,4.682,4.459,Spring
2022-03-14,4.658,71928.0,4.705,4.759,4.506,Spring
2022-03-11,4.725,77808.0,4.657,4.797,4.622,Spring
2022-03-10,4.631,75295.0,4.52,4.671,4.499,Spring
2022-03-09,4.526,87262.0,4.569,4.625,4.45,Spring
2022-03-08,4.527,152372.0,4.818,4.882,4.507,Spring
2022-03-07,4.833,125430.0,5.041,5.184,4.781,Spring
2022-03-04,5.016,121130.0,4.75,5.045,4.728,Spring
2022-03-03,4.722,132856.0,4.795,4.936,4.628,Spring
2022-03-02,4.762,139236.0,4.6,4.911,4.6,Spring
2022-03-01,4.573,107929.0,4.408,4.627,4.34,Spring
2022-02-28,4.402,101350.0,4.62,4.683,4.366,Winter
2022-02-25,4.47,109325.0,4.573,4.716,4.417,Winter
2022-02-24,4.568,3540.0,4.603,4.94,4.293,Winter
2022-02-23,4.623,35345.0,4.504,4.704,4.452,Winter
2022-02-22,4.498,39522.0,4.594,4.861,4.448,Winter
2022-02-18,4.431,62504.0,4.517,4.654,4.371,Winter
2022-02-17,4.486,111443.0,4.642,4.793,4.402,Winter
2022-02-16,4.717,140468.0,4.393,4.74,4.37,Winter
2022-02-15,4.306,128402.0,4.183,4.428,4.157,Winter
2022-02-14,4.195,108740.0,4.103,4.229,4.04,Winter
2022-02-11,3.941,143303.0,3.944,4.056,3.876,Winter
2022-02-10,3.959,108205.0,4.035,4.068,3.882,Winter
2022-02-09,4.009,116592.0,4.211,4.259,3.983,Winter
2022-02-08,4.248,122675.0,4.276,4.381,4.173,Winter
2022-02-07,4.232,165388.0,4.384,4.468,4.12,Winter
2022-02-04,4.572,141712.0,4.929,5.087,4.487,Winter
2022-02-03,4.888,180985.0,5.42,5.454,4.816,Winter
2022-02-02,5.501,277441.0,4.893,5.572,4.857,Winter
2022-02-01,4.751,133411.0,4.921,4.974,4.62,Winter
2022-01-31,4.874,147383.0,4.867,5.057,4.695,Winter
2022-01-28,4.639,248586.0,4.342,4.876,4.286,Winter
